iter	Passed	Remaining
125	99030	3830769
126	99746	3827289
127	100631	3830284
128	101437	3830239
129	102440	3837564
130	102984	3827728
131	103809	3828386
132	104559	3826253
133	105777	3841130
134	106701	3845190
135	107551	3846564
136	108248	3842411
137	109308	3851150
138	110339	3858713
139	111321	3864444
140	112475	3876008
141	113641	3887810
142	114647	3894020
143	115353	3889973
144	116209	3891024
145	117006	3890060
146	118172	3901309
147	118858	3896615
148	119583	3893292
149	120476	3895416
150	121264	3894120
151	122088	3893976
152	122902	3893520
153	124426	3915381
154	125218	3914091
155	125860	3908120
156	126932	3915491
157	127634	3911436
158	128605	3915601
159	129332	3912316
160	130087	3909896
161	131299	3921154
162	132051	3918611
163	132925	3919684
164	133918	3924205
165	135417	3943413
166	136144	3940050
167	136921	3938110
168	138025	3945582
169	139095	3951957
170	139896	3950641
171	141049	3959228
172	142260	3969307
173	143442	3978477
174	144165	3974852
175	145029	3975121
176	146526	3992637
177	147274	3989656
178	148035	3987028
179	149034	3990808
180	149739	3986704
181	150476	3983501
182	151238	3980970
183	152024	3979063
184	153896	4005459
185	154579	4000786
186	155297	3997037
187	155959	3991905
188	157319	4004562
189	158144	4003555
190	159123	4006413
191	159812	4001961
192	160474	3996894
193	161148	3992175
194	162012	3992158
195	162732	3988598
196	163396	3983722
197	164456	3988497
198	165703	3997706
199	166382	3993176
200	167276	3993835
201	168006	3990566
202	168779	3988339
203	169563	3986415
204	170530	3988744
205	171685	3995445
206	172308	3989731
207	173162	3989392
208	173717	3982195
209	174724	3985382
210	175699	3987806
211	176380	3983542
212	176923	3976221
213	177782	3976009
214	178353	3969395
215	179159	3968046
216	179777	3962550
217	180302	3955086
218	180845	3948054
219	181337	3939972
220	182500	3946461
221	183242	3943845
222	183914	3939719
223	184543	3934738
224	185274	3931937
225	185796	3924738
226	186552	3922528
227	187336	3920928
228	187845	3913578
229	188353	3906287
230	189034	3902620
231	189642	3897489
232	190644	3900438
233	191152	3893306
234	191662	3886265
235	192449	3884867
236	193213	3883019
237	193852	3878671
238	194513	3874806
239	195360	3874654
240	195890	3868236
241	196385	3861169
242	197165	3859732
243	197726	3854048
244	198609	3854640
245	199291	3851339
246	199843	3845577
247	200377	3839491
248	200945	3834112
249	201823	3834654
250	202426	3829966
251	202935	3823569
252	203461	3817511
253	204057	3812830
254	204666	3808394
255	205277	3804048
256	205824	3798541
257	206666	3798503
258	207528	3798806
259	208088	3793622
260	208845	3792029
261	209492	3788453
262	210001	3782422
263	210547	3777094
264	211547	3779914
265	212584	3783367
266	213588	3786197
267	214078	3779928
268	214704	3776077
269	215223	3770400
270	215804	3765824
271	216507	3763405
272	217001	3757380
273	217531	3752013
274	218116	3747643
275	218661	3742594
276	219590	3744130
277	220164	3739635
278	220726	3734951
279	221229	3729288
280	221774	3724382
281	222295	3719109
282	222893	3715146
283	223713	3714910
284	224234	3709708
285	225052	3709432
286	226090	3712760
287	227036	3714569
288	227552	3709342
289	228083	3704386
290	228595	3699168
291	229275	3696681
292	229878	3692967
293	230895	3695893
294	231469	3691743
295	232025	3687322
296	233015	3689802
297	233492	3684172
298	233986	3678827
299	234473	3673412
300	235107	3670339
301	235634	3665605
302	236594	3667611
303	237114	3662796
304	237701	3659040
305	238256	3654818
306	238772	3650028
307	239308	3645568
308	239849	3641207
309	240394	3636938
310	240881	3631808
311	241551	3629463
312	242107	3625428
313	243209	3629560
314	243823	3626384
315	244631	3626119
316	245503	3626793
317	246032	3622410
318	246632	3619073
319	247189	3615150
320	247688	3610387
321	248283	3607053
322	248854	3603389
323	249392	3599253
324	250272	3600069
325	250784	3595609
326	251648	3596188
327	252151	3591615
328	252701	3587747
329	253237	3583699
330	253792	3579925
331	254344	3576146
332	254848	3571703
333	255405	3568028
334	256185	3567480
335	256803	3564679
336	257333	3560674
337	258171	3560927
338	258774	3557956
339	259298	3553919
340	259840	3550136
341	260330	3545676
342	260881	3542057
343	261463	3538873
344	261965	3534637
345	262649	3532865
346	263517	3533565
347	264124	3530771
348	264638	3526750
349	265134	3522505
350	265930	3522258
351	266481	3518768
352	267152	3516874
353	267645	3512655
